url,vin,title,year,make,model,trim,sales_price,average_market_price,price_tier,odometer_miles,vehicle_age,fuel_type,exterior,interior,dealer_info,dealer_city,dealer_state,dealer_distance_miles,source_city,source_state,source_metro,feature_count,standard_feature_count,seller_notes,price_description,listed_since,stock_number,mileage_listed,list_price_displayed,mileage,list_price,average_list_price,price_range_excellent,price_range_great,price_range_fair,price_range_high,epa_range,city_state,distance,city,state,year_from_title,make_from_title,model_from_title,trim_from_title
https://www.truecar.com/used-cars-for-sale/listing/19UDE2F78JA010128/2018-acura-ilx/?position=29&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D43&sourceType=marketplace,19UDE2F78JA010128,Used 2018 Acura ILX with Premium Package,2018,Acura,ILX,with Premium Package,18000.0,19571.0,below_market,60784,8,Gas,Crystal Black Pearl,Ebony,Automax Preowned Marlborough,Marlborough,MA,26.0,Boston,MA,boston_ma,0,0,"Only 61k Miles - Premium Edition - Crystal Black Pearl exterior on Ebony Black Leather interior with Navigation / GPS / NAV, Sunroof / Moonroof, Heated Seats, ELS Studio Surround Sound System, Bluetooth, Backup Camera, Steering Wheel Mounted Paddle Shift Controls, Active Cruise Control, Lane Departure Warning, Collision Warning, Blind Spot Warning, Push Button Start, and so much more. Extremely well equipped, clean Carfax, and meticulously clean inside and out. Beautiful 2018 Acura ILX Premium Package with only 61k miles, very well taken care of and it shows... AutoMax Pre-owned is a BBB Accredited Business with an A+ Rating. We offer factory direct cars at factory direct prices! We offer extended warranties on most of our vehicles for up to 5 years or 100,000 miles. We also accept all trades and offer competitive financing options with very low rates. We are conveniently located just 20 minutes from Boston and 20 minutes from Worcester on RT 9 in Framingham and RT 85 in Marlborough. Former Lease Vehicle. Prices are subject to change without notice. The information contained herein is deemed reliable but not guaranteed. Dealer is not responsible for any misprint involving the description of vehicles. It is the sole responsibility of the buyer to physically inspect and verify such information, accessories, condition, and cosmetic defects prior to purchasing. All advertised prices exclude taxes, registration fees, and $897 dealer documentation fee. Vehicles come with one key, dealership is not responsible for cost of additional keys.","The list price of $18,000 for this 2018 Acura ILX is an excellent price! The average list price for similar models is $19,571 . Learn More",Listed 4 days ago,010128T,"60,784 miles","$18,000","Marlborough, MA (26 miles away)","$18,000","$19,571","Below $18,592","$18,592 - $19,375","$19,375 - $20,158","Above $20,158",,,,,,2018,Acura,ILX,with Premium Package
https://www.truecar.com/used-cars-for-sale/listing/19UDE2F8XNA008248/2022-acura-ilx/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D22&sourceType=marketplace,19UDE2F8XNA008248,Used 2022 Acura ILX Sedan w/Premium/A-SPEC Package,2022,Acura,ILX,Sedan w/Premium/A-SPEC Package,25499.0,26042.0,near_market,26314,4,Gas,Platinum White Pearl,Red,Acura of Boston,Brighton,MA,12.0,Boston,MA,boston_ma,0,0,"Recent Arrival! Platinum White Pearl 2022 Acura ILX Premium and A-SPEC Packages 2. 4L I4 DOHC i-VTEC 16V 8-Speed Dual-Clutch FWD One Owner, Clean Carfax/ No accidents reported, Back up Camera, BlueTooth/Hands Free Cell Phone, Acura Certified, Apple CarPlay/Android Auto, Brake assist, Delay-off headlights, Exterior Parking Camera Rear, Fully automatic headlights, Lane departure: Lane Keeping Assist System (LKAS) active, Power moonroof, Wheels: 18"" x 7. 5"" Shark Gray 15-Spoke. Precision Certified Details: * 1st Scheduled Maintenance is Free, Complimentary 3-month AcuraLink trial, Complimentary 3-month SiriusXM Radio Service. Includes Trip Interruption, Rental Vehicle Reimbursement and Concierge Service * Warranty Deductible: $0 * Limited Warranty: 24 Month/100,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * 182 Point Inspection * Roadside Assistance * Vehicle History * Transferable Warranty * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date At Acura of Boston, our mission is to provide fair and competitive Internet Market Value Pricing for all customers. We achieve this by polling over 40,000 websites hourly, ensuring real-time pricing on every vehicle. We do not inflate prices to engage in negotiations, prioritizing a straightforward and exceptional purchase experience for our customers. With multiple locations in New England, we believe this approach best serves our customers.","The list price of $25,499 for this 2022 Acura ILX is a great price! The average list price for similar models is $26,042 . Learn More",Listed 8 days ago,AS1040A,"26,314 miles","$25,499","Brighton, MA (12 miles away)","$25,499","$26,042","Below $24,739","$24,739 - $25,781","$25,781 - $26,822","Above $26,822",,,,,,2022,Acura,ILX,Sedan w/Premium/A-SPEC Package
https://www.truecar.com/used-cars-for-sale/listing/19UDE4H60SA002994/2025-acura-integra/?position=21&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D20&sourceType=marketplace,19UDE4H60SA002994,Used 2025 Acura Integra A-Spec Technology Package CVT,2025,Acura,Integra,A-Spec Technology Package CVT,35399.0,35812.0,near_market,4617,1,Gas,Platinum White Pearl,Ebony,San Francisco Honda,San Francisco,CA,2688.0,San Francisco,CA,san-francisco_ca,0,0,"Acura Certified Pre-Owned, Acura Watch, Back-Up Camera, Climate Control, Apple Car Play/ Android Auto, Bluetooth Handsfree and Audio, and much more! 2025 Acura Integra A-Spec Package, Odometer is only 4,617 miles, priced below market average! Priced below KBB Fair Purchase Price! This vehicle grew up in California! All necessary services have been done for the appropriate mileage, brakes checked, four wheel alignment , cabin air filter replaced/ cleaned, emission system checked, tires rotated and above all we have also reconditioned this vehicle inside and out, so as to provide you with as near a new vehicle as can be expected from a vehicle of this year and mileage. Whether you have good credit, bad credit, or no credit get pre-approved today at: https://www. sfhonda. com/get-pre-approved / Buy with confidence as all of our Pre-Owned Vehicles come equipped with a 90-Day/3000 Mile warranty as well as CarDoc, our exclusive maintenance and membership program. The included CarDoc Program comes with 4 Complimentary Oil Changes and 4 Complimentary Tire Rotation for the first TWO years of ownership. Advertised price is plus any dealer installed accessories. For more information or to schedule a test drive call San Francisco Honda at 415-221-4000 or visit us online at SFHONDA. COM All used vehicles have the following dealer installed accessories in addition to the advertised sales price. *Elo Security GPS ($1,695) *Victory Paint & Fabric Protection ($1295) *5YR/75,000 Mile CarDoc Maintenance W/ Brakes *These Pre-Installed Items are Optional","The list price of $35,399 for this 2025 Acura Integra is a great price! The average list price for similar models is $35,812 . Learn More",Listed 40 days ago,51E02508,"4,617 miles","$35,399","San Francisco, CA (2688 miles away)","$35,399","$35,812","Below $34,021","$34,021 - $35,453","$35,453 - $36,886","Above $36,886",,,,,,2025,Acura,Integra,A-Spec Technology Package CVT
https://www.truecar.com/used-cars-for-sale/listing/19UDE4H62SA002995/2025-acura-integra/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D38&sourceType=marketplace,19UDE4H62SA002995,Used 2025 Acura Integra A-Spec Technology Package CVT,2025,Acura,Integra,A-Spec Technology Package CVT,34680.0,35072.0,near_market,2551,1,Gas,Platinum White Pearl,Ebony,Oakland Acura,Oakland,CA,2678.0,San Francisco,CA,san-francisco_ca,0,0,"Certified. FWD CVT 1. 5L I4 DOHC 16V This Integra is in Excellent Condition and is Acura CERTIFIED! It has very low mileage and has been meticulously maintained. This vehicle was previously a luxury loaner vehicle for our award winning service department! CARFAX One-Owner. 29/36 City/Highway MPG Odometer is 770 miles below market average! Precision Certified Details: * Vehicle History * 1st Scheduled Maintenance is Free, Complimentary 3-month AcuraLink trial, Complimentary 3-month SiriusXM Radio Service. Includes Trip Interruption, Rental Vehicle Reimbursement and Concierge Service * Transferable Warranty * Limited Warranty: 24 Month/100,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Warranty Deductible: $0 * Roadside Assistance * 182 Point Inspection * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date","The list price of $34,680 for this 2025 Acura Integra is a great price! The average list price for similar models is $35,072 . Learn More",Listed 38 days ago,13640L,"2,551 miles","$34,680","Oakland, CA (2678 miles away)","$34,680","$35,072","Below $31,864","$31,864 - $35,072","$35,072 - $38,280","Above $38,280",,,,,,2025,Acura,Integra,A-Spec Technology Package CVT
https://www.truecar.com/used-cars-for-sale/listing/19UDE4H69PA004430/2023-acura-integra/?position=18&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D42&sourceType=marketplace,19UDE4H69PA004430,Used 2023 Acura Integra CVT w/A-Spec Technology Package,2023,Acura,Integra,CVT w/A-Spec Technology Package,28883.0,29816.0,near_market,41138,3,Gas,Platinum White Pearl,Red,Acura of Austin North,Austin,TX,1691.0,Austin,TX,austin_tx,0,0,"***PRECISION PRICING***, ***Price Has $750 Discount for Financed deals***, *** Price Has $750 off for Trade Offer *** Drive worry-free with Acura of Austin North's exclusive 10-year/150,000-mile engine warranty on select pre-owned vehicles. Discover the perfect blend of sporty performance, premium features, and long-term peace of mind with this Acura Certified 2023 Acura Integra A-Spec Tech Package, available now at Acura of Austin North. This sleek and stylish liftback offers advanced technology, dynamic handling, and refined interior comfort--making every drive an exhilarating experience. As an Acura Certified vehicle, it meets the highest standards for quality and reliability. Plus, it comes backed by Acura of Austin Norths exclusive 10-year / 150,000 mile engine warranty, giving you added confidence and value. Don't miss the opportunity to own this exceptional pre-owned Integra--contact us today to schedule your test drive or learn more! CARFAX One-Owner. 2023 Acura Integra Platinum White Pearl A-Spec Tech Package 1. 5L I4 DOHC 16V FWD ***NO HIDDEN FEES***, TRANSPARENT PRICING, NATIONWIDE SHIPPING AVAILABLE, BLUETOOTH/HANDSFREE CELL PHONE, REAR BACKUP CAMERA, APPLE CAR PLAY, BLIND-SPOT MONITORING, LANE DEPARTURE WARNING, PUSH BUTTON START, USB, SUNROOF/MOONROOF, KEYLESS ENTRY, AUTOMATIC HEADLIGHTS, SERVICE AVAILABLE, SAFETY INSPECTED, FRESH OIL CHANGE, 180 POINT INSPECTION, 10-YEAR / 150,000 MILE ENGINE WARRANTY. Certified. 1. Precision Certified Details: * Limited Warranty: 24 Month/100,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Transferable Warranty * Warranty Deductible: $0 * Roadside Assistance * 1st Scheduled Maintenance is Free, Complimentary 3-month AcuraLink trial, Complimentary 3-month SiriusXM Radio Service. Includes Trip Interruption, Rental Vehicle Reimbursement and Concierge Service * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * 182 Point Inspection * Vehicle History Recent Arrival! 29/36 City/Highway MPG","The list price of $28,883 for this 2023 Acura Integra is a great price! The average list price for similar models is $29,816 . Learn More",Listed 2 days ago,A02354A,"41,138 miles","$28,883","Austin, TX (1691 miles away)","$28,883","$29,816","Below $28,325","$28,325 - $29,518","$29,518 - $30,710","Above $30,710",,,,,,2023,Acura,Integra,CVT w/A-Spec Technology Package
https://www.truecar.com/used-cars-for-sale/listing/19UDE4H69PA015072/2023-acura-integra/?position=28&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-detroit-mi%2F%3Fpage%3D36&sourceType=marketplace,19UDE4H69PA015072,Used 2023 Acura Integra CVT w/A-Spec Technology Package,2023,Acura,Integra,CVT w/A-Spec Technology Package,31895.0,31896.0,near_market,19926,3,Gas,Lunar Silver Metallic,Ebony,Genesis Chevrolet,Eastpointe,MI,604.0,Detroit,MI,detroit_mi,0,0,"2023 Acura Integra A-Spec Tech Package Silver FULLY INSPECTED, MINT CONDITION, CLEAN, 16 Speakers, 18"" Alloy Wheels, 4-Wheel Disc Brakes, ABS brakes, Adaptive suspension, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay/Android Auto, Auto High-beam Headlights, Auto-dimming Rear-View mirror, Automatic temperature control, Brake assist, Bumpers: body-color, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: AcuraLink (subscription required), Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Heads-Up Display, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Knee airbag, Lane departure: Lane Keeping Assist System (LKAS) active, Leather Shift Knob, Low tire pressure warning, Memory seat, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power moonroof, Power passenger seat, Power steering, Power windows, Radio data system, Radio: ELS Studio 3D Premium Audio System, Rain sensing wipers, Rear anti-roll bar, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Suede-Trimmed Seating Surfaces w/Exclusive Stitch, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers. CARFAX One-Owner. Call us at (586) 775-8300 to speak directly with sales. Visit www. GenesisChevy. com to view our complete inventory and apply for financing. Out of State Customers: We are conveniently located 35 minutes from Detroit Metropolitan Airport (DTW). We would be happy to pick you up at the airport or assist you with shipping arrangements.","The list price of $31,895 for this 2023 Acura Integra is a fair price! The average list price for similar models is $31,896 . Learn More",Listed 40 days ago,A015072B,"19,926 miles","$31,895","Eastpointe, MI (604 miles away)","$31,895","$31,896","Below $30,300","$30,300 - $31,576","$31,576 - $32,852","Above $32,852",,,,,,2023,Acura,Integra,CVT w/A-Spec Technology Package
https://www.truecar.com/used-cars-for-sale/listing/19UUA56643A091362/2003-acura-tl/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D23&sourceType=marketplace,19UUA56643A091362,Used 2003 Acura TL 3.2L,2003,Acura,TL,3.2L,5491.0,6339.0,below_market,135052,23,Gas,Satin Silver,Black,Choice Auto Center,Shrewsbury,MA,36.0,Boston,MA,boston_ma,0,0,"Please visit Choiceautocenter. com for all photos and CarFax reports. WE TAKE TRADES & WE BUY CARS! $395 Documentation fee is our only fee for the purchase of a car. Out of state registrations are optional through a third party company as well. Please contact us to schedule an appointment. We use market based data to price our inventory so no need to haggle! We professionally do the pricing research! All of our vehicles have free CarFax History reports. Pre qualifications may be required for specialty vehicles. If you have any questions about extended warranties, finance rates, or our 200+ vehicle inventory then please give us a call at 508-842-2345. PLEASE FEEL FREE TO TEXT THIS NUMBER ANYTIME WITH QUESTIONS 508-864-9795 TEXT ONLY! We are a family owned and operated dealership. Allow us to show you why we have become the DEALER OF CHOICE for the past 30 years & counting! For more detailed photos and a complete list of our full inventory please visit us at Choiceautocenter. com We carry an A+ rating with the BBB and we look forward to meeting you and earning your business! All inventory is subject to prior sale and prices are subject to change without notice. Choice Auto Center LLC makes every attempt to make sure our listings are factual, accurate and updated however we are not liable for any inaccuracies. We present a Carfax report to all customers however we are not liable for any recalls or any information that gets reported after the vehicle sale. Call us today and join our expanding family! ALL PRICES DO NOT REFLECT A $395 DEALER DOCUMENTATION FEE, SALES TAX & REGISTRATION FEES. Please contact dealer to verify availability, prices and other vehicle details or vehicle options. Please Verify any and all recalls with the manufacturer/ dealer. Most cars come with one key, please check for extra key at time of purchase. Thank you!","The list price of $5,491 for this 2003 Acura TL is an excellent price! The average list price for similar models is $6,339 . Learn More",Listed 22 days ago,C5251A,"135,052 miles","$5,491","Shrewsbury, MA (36 miles away)","$5,491","$6,339","Below $6,021","$6,021 - $6,275","$6,275 - $6,528","Above $6,528",,,,,,2003,Acura,TL,3.2L
https://www.truecar.com/used-cars-for-sale/listing/19UUA66236A047876/2006-acura-tl/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D30&sourceType=marketplace,19UUA66236A047876,Used 2006 Acura TL Automatic,2006,Acura,TL,Automatic,4995.0,5431.0,below_market,170502,20,Gas,Black,Beige,Highend Motors,Chicago,IL,855.0,Chicago,IL,chicago_il,0,0,Visit HIGHEND Motors to shop our great deals. You can call 773-424-0211 to schedule your test drive today.,"The list price of $4,995 for this 2006 Acura TL is an excellent price! The average list price for similar models is $5,431 . Learn More",Listed 17 days ago,10402,"170,502 miles","$4,995","Chicago, IL (855 miles away)","$4,995","$5,431","Below $5,159","$5,159 - $5,376","$5,376 - $5,593","Above $5,593",,,,,,2006,Acura,TL,Automatic
https://www.truecar.com/used-cars-for-sale/listing/19UUA662X8A019723/2008-acura-tl/?position=29&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-seattle-wa%2F%3Fpage%3D5&sourceType=marketplace,19UUA662X8A019723,Used 2008 Acura TL Automatic,2008,Acura,TL,Automatic,7477.0,8474.0,below_market,146760,18,Gas,White,Black,Seattle Hyundai,Seattle,WA,2477.0,Seattle,WA,seattle_wa,0,0,2008 Acura TL,"The list price of $7,477 for this 2008 Acura TL is an excellent price! The average list price for similar models is $8,474 . Learn More",Listed 12 days ago,266188A,"146,760 miles","$7,477","Seattle, WA (2477 miles away)","$7,477","$8,474","Below $8,049","$8,049 - $8,388","$8,388 - $8,727","Above $8,727",,,,,,2008,Acura,TL,Automatic
https://www.truecar.com/used-cars-for-sale/listing/19UUA8F2XCA022271/2012-acura-tl/?position=11&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-seattle-wa%2F%3Fpage%3D15&sourceType=marketplace,19UUA8F2XCA022271,Used 2012 Acura TL FWD Automatic,2012,Acura,TL,FWD Automatic,8977.0,10112.0,below_market,118770,14,Gas,Basque Red Pearl,Unknown,Seattle Jeep,Seattle,WA,2477.0,Seattle,WA,seattle_wa,0,0,2012 Acura TL Base,"The list price of $8,977 for this 2012 Acura TL is an excellent price! The average list price for similar models is $10,112 . Learn More",Listed 25 days ago,024532C,"118,770 miles","$8,977","Seattle, WA (2477 miles away)","$8,977","$10,112","Below $9,606","$9,606 - $10,010","$10,010 - $10,415","Above $10,415",,,,,,2012,Acura,TL,FWD Automatic
