url,exterior,interior,mileage,fuel_type,listed_since,vin,stock_number,list_price,average_list_price,price_range_excellent,price_range_great,price_range_fair,price_range_high,price_description,seller_notes,epa_range
https://www.truecar.com/used-cars-for-sale/listing/1C6RREHT8MN753249/2021-ram-1500/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Patriot Blue Pearlcoat,Indigo/Frost,"Austin, TX (1684 miles away)",Gas,Listed 53 days ago,1C6RREHT8MN753249,753249x28,"$32,650","$41,365","Below $39,296","$39,296 - $40,951","$40,951 - $42,605","Above $42,605","The list price of$32,650for this2021 Ram 1500isanexcellentprice! The average list price for similar models is$41,365.Learn More","All advertised prices exclude government fees and taxes, any finance charges, any dealer document preparation charges, and any emission testing charges. While we try to make sure that all prices posted here are accurate at all times, we cannot be responsible for typographical and other errors that may appear on the site. We make every effort to provide you with the most accurate, up-to-the-minute information; however, it is your responsibility to verify with the Dealer that all details listed are accurate. The dealership is not responsible for typographical, pricing, product information, advertising, or shipping errors. Advertised prices and available quantities are subject to change without notice. All rates and offers are dependent on bank approval, which varies based on the applicant's credit as well as the vehicle. *Austin Texas Cars and Trucks - HOME OF THE LIFETIME WARRANTY on qualified vehicles. Ask the dealer for details.",
https://www.truecar.com/used-cars-for-sale/listing/ZFBHRFAB1L6P25042/2020-ram-promaster-city-cargo-van/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Bright White,Black,"Austin, TX (1684 miles away)",Gas,Listed 50 days ago,ZFBHRFAB1L6P25042,P25042x39,"$17,775","$21,984","Below $20,884","$20,884 - $21,763","$21,763 - $22,643","Above $22,643","The list price of$17,775for this2020 Ram ProMaster City Cargo Vanisanexcellentprice! The average list price for similar models is$21,984.Learn More","All advertised prices exclude government fees and taxes, any finance charges, any dealer document preparation charges, and any emission testing charges. While we try to make sure that all prices posted here are accurate at all times, we cannot be responsible for typographical and other errors that may appear on the site. We make every effort to provide you with the most accurate, up-to-the-minute information; however, it is your responsibility to verify with the Dealer that all details listed are accurate. The dealership is not responsible for typographical, pricing, product information, advertising, or shipping errors. Advertised prices and available quantities are subject to change without notice. All rates and offers are dependent on bank approval, which varies based on the applicant's credit as well as the vehicle. *Austin Texas Cars and Trucks - HOME OF THE LIFETIME WARRANTY on qualified vehicles. Ask the dealer for details.",
https://www.truecar.com/used-cars-for-sale/listing/1FBAX2YG8PKB08835/2023-ford-transit-passenger-wagon/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Oxford White,Gray,"Austin, TX (1685 miles away)",Gas,Listed 64 days ago,1FBAX2YG8PKB08835,DS9951,"$38,900","$47,617","Below $45,236","$45,236 - $47,140","$47,140 - $49,045","Above $49,045","The list price of$38,900for this2023 Ford Transit Passenger Wagonisanexcellentprice! The average list price for similar models is$47,617.Learn More","This vehicle is located at Covert Buick GMC of Austin on 11750 Research Blvd Suite D, Austin, TX 78759. Visit us soon to take a test drive of this great vehicle. Give us a call at 512-583-3497 for more information! .  ONE OWNER, Transit-350 XLT, Passenger Van, EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged, 10-Speed Automatic with Overdrive, RWD, Oxford White, Gray Cloth, Order Code 302A, Privacy Glass. Oxford White 2023 Ford Transit-350 XLT RWD EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged XLT  CARFAX One-Owner. Odometer is 9676 miles below market average!   Serving Central Texas and beyond since 1909. Come experience the Covert Commitment today! .",
https://www.truecar.com/used-cars-for-sale/listing/1C6RREHT8MN753249/2021-ram-1500/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Patriot Blue Pearlcoat,Indigo/Frost,"Austin, TX (1684 miles away)",Gas,Listed 53 days ago,1C6RREHT8MN753249,753249x28,"$32,650","$41,365","Below $39,296","$39,296 - $40,951","$40,951 - $42,605","Above $42,605","The list price of$32,650for this2021 Ram 1500isanexcellentprice! The average list price for similar models is$41,365.Learn More","All advertised prices exclude government fees and taxes, any finance charges, any dealer document preparation charges, and any emission testing charges. While we try to make sure that all prices posted here are accurate at all times, we cannot be responsible for typographical and other errors that may appear on the site. We make every effort to provide you with the most accurate, up-to-the-minute information; however, it is your responsibility to verify with the Dealer that all details listed are accurate. The dealership is not responsible for typographical, pricing, product information, advertising, or shipping errors. Advertised prices and available quantities are subject to change without notice. All rates and offers are dependent on bank approval, which varies based on the applicant's credit as well as the vehicle. *Austin Texas Cars and Trucks - HOME OF THE LIFETIME WARRANTY on qualified vehicles. Ask the dealer for details.",
https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE1DH206979/2013-hyundai-elantra/?position=4&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Radiant Silver,Gray,"Austin, TX (1685 miles away)",Gas,Listed 9 days ago,5NPDH4AE1DH206979,206979,"$7,400","$9,530","Below $9,053","$9,053 - $9,434","$9,434 - $9,816","Above $9,816","The list price of$7,400for this2013 Hyundai Elantraisanexcellentprice! The average list price for similar models is$9,530.Learn More","Introducing the 2013 Hyundai Elantra GLS Automatic – a sleek and stylish sedan that offers both luxury and efficiency. Equipped with a 1.8L 4-cylinder engine, this car delivers an impressive 148 horsepower and smooth handling. Its automatic transmission ensures a seamless driving experience, while its spacious interior and advanced features make every ride comfortable and convenient. With its impressive fuel economy of up to 38 MPG on the highway, this car is perfect for both city and highway driving. Plus, with Hyundai's renowned reliability and a 5-star overall safety rating, you can drive with peace of mind. Don't miss out on this fantastic opportunity to own a top-rated vehicle at an affordable price. #HyundaiElantra #SleekAndEfficient #LuxuryOnWheels.",
https://www.truecar.com/used-cars-for-sale/listing/WBA3A9G58FNT09840/2015-bmw-3-series/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Silver/Gray,Black,"Austin, TX (1694 miles away)",Gas,Listed 4 days ago,WBA3A9G58FNT09840,FNT09840,"$15,998","$20,660","Below $19,627","$19,627 - $20,453","$20,453 - $21,279","Above $21,279","The list price of$15,998for this2015 BMW 3 Seriesisanexcellentprice! The average list price for similar models is$20,660.Learn More","Sun/Moonroof,Keyless StartThis vehicle includes a Money-Back Guarantee* and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. *Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply. AutoNation Toyota South Austin has a wide selection of exceptional pre-owned vehicles to choose from, including this 2015 BMW 3 Series. Put performance, safety, beauty, sophistication and all the right amenities into a car, and here it is! Now you can own luxury without the luxury price tag! The BMW 3 Series 335i speaks volumes about it's driver, uncompromising individuality, passion for driving, and standards far above the ordinary. It's exceptional fuel-efficiency is a clear sign that not all vehicles are created with the same standards. The 3 Series 335i has been lightly driven and there is little to no wear and tear on this vehicle. The care taken on this pre-owned vehicle is reflective of the 76,283mi put on this BMW. More information about the 2015 BMW 3 Series: The BMW 3-Series is a family of sporty sedans and wagons sized at what would be considered a compact car in the U.S. The 2015 BMW 3-Series Sedans and Sports Wagon models are built on a platform that made its debut with the 2012 model. Across its entire lineup, the 3-Series models stand out for being athletic, responsive and fun to drive, as well as more fuel-efficient than most other alternatives. The F30 redesign brought more back-seat space and cargo space to sedans, as well as a more sophisticated and isolated ride. M3 models, meanwhile, continue to be one of the most practical high-performance cars on the market. Strengths of this model include practicality and comfort, athletic driving feel, long list of appearance packages and trims, compact size and maneuverability, A wide variety of options, high-tech options, and fuel efficiency",
https://www.truecar.com/used-cars-for-sale/listing/1GAZGPFG6H1254889/2017-chevrolet-express-passenger/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Summit White,Medium Pewter,"Round Rock, TX (1678 miles away)",Gas,Listed 18 days ago,1GAZGPFG6H1254889,null,"$14,999","$19,919","Below $18,922","$18,922 - $19,719","$19,719 - $20,516","Above $20,516","The list price of$14,999for this2017 Chevrolet Express Passengerisanexcellentprice! The average list price for similar models is$19,919.Learn More",2017 CHEVY EXPRESS 3500 3 DOOR EXTENDED CAB AUTOMATIC TRANSMISSION POWER AC CD DRIVES GOOD FOR MORE INFO CALL RAY 5129985200,
https://www.truecar.com/used-cars-for-sale/listing/ZFBHRFAB1L6P25042/2020-ram-promaster-city-cargo-van/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Bright White,Black,"Austin, TX (1684 miles away)",Gas,Listed 50 days ago,ZFBHRFAB1L6P25042,P25042x39,"$17,775","$21,984","Below $20,884","$20,884 - $21,763","$21,763 - $22,643","Above $22,643","The list price of$17,775for this2020 Ram ProMaster City Cargo Vanisanexcellentprice! The average list price for similar models is$21,984.Learn More","All advertised prices exclude government fees and taxes, any finance charges, any dealer document preparation charges, and any emission testing charges. While we try to make sure that all prices posted here are accurate at all times, we cannot be responsible for typographical and other errors that may appear on the site. We make every effort to provide you with the most accurate, up-to-the-minute information; however, it is your responsibility to verify with the Dealer that all details listed are accurate. The dealership is not responsible for typographical, pricing, product information, advertising, or shipping errors. Advertised prices and available quantities are subject to change without notice. All rates and offers are dependent on bank approval, which varies based on the applicant's credit as well as the vehicle. *Austin Texas Cars and Trucks - HOME OF THE LIFETIME WARRANTY on qualified vehicles. Ask the dealer for details.",
https://www.truecar.com/used-cars-for-sale/listing/WMEEJ3BA6FK800181/2015-smart-fortwo/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Black,Black,"Austin, TX (1681 miles away)",Gas,Listed 93 days ago,WMEEJ3BA6FK800181,L3495C,"$5,995","$7,850","Below $7,457","$7,457 - $7,771","$7,771 - $8,085","Above $8,085","The list price of$5,995for this2015 smart fortwoisanexcellentprice! The average list price for similar models is$7,850.Learn More",We are proud to provide free CARFAX reports for all of our inventory all of the time...just click the CARFAX button!   Lone Oak Motors Bringing the Deals to You!,
https://www.truecar.com/used-cars-for-sale/listing/1FBAX2YG8PKB08835/2023-ford-transit-passenger-wagon/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Oxford White,Gray,"Austin, TX (1685 miles away)",Gas,Listed 64 days ago,1FBAX2YG8PKB08835,DS9951,"$38,900","$47,617","Below $45,236","$45,236 - $47,140","$47,140 - $49,045","Above $49,045","The list price of$38,900for this2023 Ford Transit Passenger Wagonisanexcellentprice! The average list price for similar models is$47,617.Learn More","This vehicle is located at Covert Buick GMC of Austin on 11750 Research Blvd Suite D, Austin, TX 78759. Visit us soon to take a test drive of this great vehicle. Give us a call at 512-583-3497 for more information! .  ONE OWNER, Transit-350 XLT, Passenger Van, EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged, 10-Speed Automatic with Overdrive, RWD, Oxford White, Gray Cloth, Order Code 302A, Privacy Glass. Oxford White 2023 Ford Transit-350 XLT RWD EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged XLT  CARFAX One-Owner. Odometer is 9676 miles below market average!   Serving Central Texas and beyond since 1909. Come experience the Covert Commitment today! .",
