url,exterior,interior,mileage,fuel_type,listed_since,vin,stock_number,list_price,average_list_price,price_range_excellent,price_range_great,price_range_fair,price_range_high,price_description,seller_notes,epa_range
https://www.truecar.com/used-cars-for-sale/listing/WBAHN83586DT33684/2006-bmw-7-series/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Michigan Blue Metallic,Tan,"Daly City, CA (2692 miles away)",Gas,Listed 56 days ago,WBAHN83586DT33684,BM3684,"$8,885","$11,832","Below $11,239","$11,239 - $11,713","$11,713 - $12,186","Above $12,186","The list price of$8,885for this2006 BMW 7 Seriesisanexcellentprice! The average list price for similar models is$11,832.Learn More",Visit All Stars Motors Inc online at www.starsmotors.com to see more pictures of this vehicle or call us at 650-550-4482 today to schedule your test drive.,
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXR63NW127010/2022-jeep-wrangler/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Granite Crystal Metallic Clearcoat,Black,"Newark, CA (2673 miles away)",Plug-In Hybrid,Listed 36 days ago,1C4JJXR63NW127010,NW127010P,"$33,598","$43,836","Below $41,643","$41,643 - $43,397","$43,397 - $45,150","Above $45,150","The list price of$33,598for this2022 Jeep Wranglerisanexcellentprice! The average list price for similar models is$43,836.Learn More","2.0L I4 DOHC, Adaptive Cruise Control w/Stop, Advanced Brake Assist, Advanced Safety Group, Auto High Beam Headlamp Control, Blind Spot & Cross Path Detection, Cold Weather Group, Full Speed Forward Collision Warning Plus, Heated Front Seats, Heated Steering Wheel, ParkSense Rear Park Assist System, Quick Order Package 29V, Remote Start System, Safety Group, Steel Bumper Group, Steel Front Bumper, Steel Rear Bumper.   Granite Crystal Metallic Clearcoat 2022 Jeep Wrangler Unlimited Rubicon 4xe 4WD 8-Speed Automatic 2.0L I4 DOHC   *Vehicle may have dealer added equipment not reflected in price. All vehicle Offer Prices are subject to final approval by the buyer and Dealer. Vehicles are subject to prior sale by Dealer if sale to buyer is not consummated. The List Price quoted is intended to provide a general idea of the vehicle's price and may vary or be modified by the dealer to reflect optional features, after-market additions, customizations or similar enhancements to a vehicle that are not standard market adjustments used in the MSRP. As a result, the price listed may be adjusted by the dealer to reflect such enhancements. Please consult directly with the dealership for more information. All vehicles at Fremont CDJR have ALLY Appearance Protection $1295, Clear Shield $395, SWAT Recovery System $995, Windshield Replacement $895, Lifetime Battery $695. Prices on the website do not include dealer-added equipment.",
https://www.truecar.com/used-cars-for-sale/listing/YV4ED3UL5P2035936/2023-volvo-xc40-recharge/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Black Stone,Black,"San Francisco, CA (2686 miles away)",Electric,Listed 68 days ago,YV4ED3UL5P2035936,P2035936,"$29,999","$36,788","Below $34,948","$34,948 - $36,420","$36,420 - $37,891","Above $37,891","The list price of$29,999for this2023 Volvo XC40 Rechargeisanexcellentprice! The average list price for similar models is$36,788.Learn More","Reserve at EVERCARS.COM/cars/YV4ED3UL5P2035936 .   Black 2023 Volvo XC40 Recharge Pure Electric Twin Plus  Buy or reserve this Ever Certified Vehicle at EVERCARS.COM. Brought to you by Ever, the best place to buy and sell EVs. Tested for battery health + inspected by EV experts. Comes with a home charger, money back guarantee (7-days/500-miles), and limited warranty (90-day/5,000-mile) as well as any remaining manufacturer warranties. Nationwide shipping or pick-up available from our retail store in San Francisco, CA. Contact us at +1 (415) 890-2232, sales@evercars.com or 559 6th Street, San Francisco, CA 94103.",223 mi
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA6KF324791/2019-tesla-model-3/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,White,Unknown,"Daly City, CA (2691 miles away)",Electric,Listed 11 days ago,5YJ3E1EA6KF324791,EZ7816,"$14,999","$19,062","Below $18,109","$18,109 - $18,871","$18,871 - $19,634","Above $19,634","The list price of$14,999for this2019 Tesla Model 3isanexcellentprice! The average list price for similar models is$19,062.Learn More","CLEAN TITLE. LISTED INTERNET PRICE IS AFTER THE IRS $4,000 INSTANT POINT OF SALE EV CREDIT APPLIED AT TIME OF SALE. NOT ALL BUYERS WILL QUALIFY. CONTACT US TO SEE IF YOU ARE ELIGIBLE. WE ARE THE BAY AREA’S LARGEST VOLUME PRE-OWNED TESLA DEALER. CHECK OUR REVIEWS! WE OFFER THE $4,000 IRS INSTANT POINT OF SALE EV REBATE TO ELIGIBLE BUYERS! THIS TESLA COMES METICULOUSLY INSPECTED AND STILL UNDER TESLA WARRANTY. CLEAN CARFAX WITH FREE CARFAX BUYBACK GUARANTEE! THIS MODEL 3 HAS A GREAT BATTERY HEALTH SCORE WITH REPORT AVAILABLE. TAXES, FEES, AND LICENSE STILL APPLIES AT NORMAL SALE PRICE BEFORE REBATE.",310 mi
https://www.truecar.com/used-cars-for-sale/listing/WBAHN83586DT33684/2006-bmw-7-series/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Michigan Blue Metallic,Tan,"Daly City, CA (2692 miles away)",Gas,Listed 56 days ago,WBAHN83586DT33684,BM3684,"$8,885","$11,832","Below $11,239","$11,239 - $11,713","$11,713 - $12,186","Above $12,186","The list price of$8,885for this2006 BMW 7 Seriesisanexcellentprice! The average list price for similar models is$11,832.Learn More",Visit All Stars Motors Inc online at www.starsmotors.com to see more pictures of this vehicle or call us at 650-550-4482 today to schedule your test drive.,
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA4PF482537/2023-tesla-model-3/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Gray,Unknown,"Daly City, CA (2691 miles away)",Electric,Listed 11 days ago,5YJ3E1EA4PF482537,EZ7811,"$20,998","$24,597","Below $23,366","$23,366 - $24,350","$24,350 - $25,334","Above $25,334","The list price of$20,998for this2023 Tesla Model 3isanexcellentprice! The average list price for similar models is$24,597.Learn More","CLEAN TITLE. LISTED INTERNET PRICE IS AFTER THE IRS $4,000 INSTANT POINT OF SALE EV CREDIT APPLIED AT TIME OF SALE. NOT ALL BUYERS WILL QUALIFY. CONTACT US TO SEE IF YOU ARE ELIGIBLE. WE ARE THE BAY AREA’S LARGEST VOLUME PRE-OWNED TESLA DEALER. CHECK OUR REVIEWS! WE OFFER THE $4,000 IRS INSTANT POINT OF SALE EV REBATE TO ELIGIBLE BUYERS! THIS TESLA COMES METICULOUSLY INSPECTED AND STILL UNDER TESLA WARRANTY. CLEAN CARFAX WITH FREE CARFAX BUYBACK GUARANTEE! THIS MODEL 3 HAS A GREAT BATTERY HEALTH SCORE WITH REPORT AVAILABLE. TAXES, FEES, AND LICENSE STILL APPLIES AT NORMAL SALE PRICE BEFORE REBATE.",272 mi
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EA0KF503974/2019-tesla-model-3/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,White,Unknown,"Daly City, CA (2691 miles away)",Electric,Listed 11 days ago,5YJ3E1EA0KF503974,EZ7817,"$15,999","$19,418","Below $18,446","$18,446 - $19,223","$19,223 - $20,000","Above $20,000","The list price of$15,999for this2019 Tesla Model 3isanexcellentprice! The average list price for similar models is$19,418.Learn More","CLEAN TITLE. LISTED INTERNET PRICE IS AFTER THE IRS $4,000 INSTANT POINT OF SALE EV CREDIT APPLIED AT TIME OF SALE. NOT ALL BUYERS WILL QUALIFY. CONTACT US TO SEE IF YOU ARE ELIGIBLE. WE ARE THE BAY AREA’S LARGEST VOLUME PRE-OWNED TESLA DEALER. CHECK OUR REVIEWS! WE OFFER THE $4,000 IRS INSTANT POINT OF SALE EV REBATE TO ELIGIBLE BUYERS! THIS TESLA COMES METICULOUSLY INSPECTED AND STILL UNDER TESLA WARRANTY. CLEAN CARFAX WITH FREE CARFAX BUYBACK GUARANTEE! THIS MODEL 3 HAS A GREAT BATTERY HEALTH SCORE WITH REPORT AVAILABLE. TAXES, FEES, AND LICENSE STILL APPLIES AT NORMAL SALE PRICE BEFORE REBATE.",240 mi
https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EAXJF019826/2018-tesla-model-3/?position=7&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Black,Unknown,"Daly City, CA (2691 miles away)",Electric,Listed 11 days ago,5YJ3E1EAXJF019826,EZ7815,"$15,999","$18,665","Below $17,731","$17,731 - $18,478","$18,478 - $19,224","Above $19,224","The list price of$15,999for this2018 Tesla Model 3isanexcellentprice! The average list price for similar models is$18,665.Learn More","CLEAN TITLE. LISTED INTERNET PRICE IS AFTER THE IRS $4,000 INSTANT POINT OF SALE EV CREDIT APPLIED AT TIME OF SALE. NOT ALL BUYERS WILL QUALIFY. CONTACT US TO SEE IF YOU ARE ELIGIBLE. WE ARE THE BAY AREA’S LARGEST VOLUME PRE-OWNED TESLA DEALER. CHECK OUR REVIEWS! WE OFFER THE $4,000 IRS INSTANT POINT OF SALE EV REBATE TO ELIGIBLE BUYERS! THIS TESLA COMES METICULOUSLY INSPECTED AND STILL UNDER TESLA WARRANTY. CLEAN CARFAX WITH FREE CARFAX BUYBACK GUARANTEE! THIS MODEL 3 HAS A GREAT BATTERY HEALTH SCORE WITH REPORT AVAILABLE. TAXES, FEES, AND LICENSE STILL APPLIES AT NORMAL SALE PRICE BEFORE REBATE.",310 mi
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXP68MW802318/2021-jeep-wrangler/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Black Clearcoat,Black,"Colma, CA (2692 miles away)",Plug-In Hybrid,Listed 71 days ago,1C4JJXP68MW802318,CD8678,"$28,888","$34,169","Below $32,460","$32,460 - $33,827","$33,827 - $35,194","Above $35,194","The list price of$28,888for this2021 Jeep Wranglerisanexcellentprice! The average list price for similar models is$34,169.Learn More","Priced below KBB Fair Purchase Price! CARFAX One-Owner. Clean CARFAX. 2.0L I4 DOHC, ABS brakes, Alloy wheels, Compass, Electronic Stability Control, Front dual zone A/C, Heated door mirrors, Illuminated entry, Low tire pressure warning, Navigation System, ParkView Rear Back-Up Camera, Passenger door bin, Remote keyless entry, Traction control. Black Clearcoat 4WD 8-Speed Automatic 2.0L I4 DOHC",
https://www.truecar.com/used-cars-for-sale/listing/1C4JJXR63NW127010/2022-jeep-wrangler/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-san-francisco-ca%2F%3Fpage%3D1&sourceType=marketplace,Granite Crystal Metallic Clearcoat,Black,"Newark, CA (2673 miles away)",Plug-In Hybrid,Listed 36 days ago,1C4JJXR63NW127010,NW127010P,"$33,598","$43,836","Below $41,643","$41,643 - $43,397","$43,397 - $45,150","Above $45,150","The list price of$33,598for this2022 Jeep Wranglerisanexcellentprice! The average list price for similar models is$43,836.Learn More","2.0L I4 DOHC, Adaptive Cruise Control w/Stop, Advanced Brake Assist, Advanced Safety Group, Auto High Beam Headlamp Control, Blind Spot & Cross Path Detection, Cold Weather Group, Full Speed Forward Collision Warning Plus, Heated Front Seats, Heated Steering Wheel, ParkSense Rear Park Assist System, Quick Order Package 29V, Remote Start System, Safety Group, Steel Bumper Group, Steel Front Bumper, Steel Rear Bumper.   Granite Crystal Metallic Clearcoat 2022 Jeep Wrangler Unlimited Rubicon 4xe 4WD 8-Speed Automatic 2.0L I4 DOHC   *Vehicle may have dealer added equipment not reflected in price. All vehicle Offer Prices are subject to final approval by the buyer and Dealer. Vehicles are subject to prior sale by Dealer if sale to buyer is not consummated. The List Price quoted is intended to provide a general idea of the vehicle's price and may vary or be modified by the dealer to reflect optional features, after-market additions, customizations or similar enhancements to a vehicle that are not standard market adjustments used in the MSRP. As a result, the price listed may be adjusted by the dealer to reflect such enhancements. Please consult directly with the dealership for more information. All vehicles at Fremont CDJR have ALLY Appearance Protection $1295, Clear Shield $395, SWAT Recovery System $995, Windshield Replacement $895, Lifetime Battery $695. Prices on the website do not include dealer-added equipment.",
