url,title,mileage_listed,list_price_displayed,dealer_info
https://www.truecar.com/used-cars-for-sale/listing/ZAM45VLA0E0122218/2014-maserati-granturismo/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Used 2014 Maserati GranTurismo Sport Coupe,"80,883 miles","$21,495",United Auto Gallery
https://www.truecar.com/used-cars-for-sale/listing/3C4PDCAB2LT272349/2020-dodge-journey/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Used 2020 Dodge Journey SE Value FWD,"80,722 miles","$10,999",Atlanta Used Car Sales Inc
https://www.truecar.com/used-cars-for-sale/listing/3C6JR6DG1HG557647/2017-ram-1500/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Used 2017 Ram 1500 Tradesman Regular Cab 8' Box 2WD,"179,375 miles","$6,750",Barrow Auto Group
https://www.truecar.com/used-cars-for-sale/listing/1FTEX1CP6MKD58410/2021-ford-f-150/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace,Used 2021 Ford F-150 XL SuperCab 8' Box 2WD,"112,790 miles","$14,999",1st Choice Autos
https://www.truecar.com/used-cars-for-sale/listing/JN8BT3BA1PW412060/2023-nissan-rogue/?position=4&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace,Used 2023 Nissan Rogue 2023.5 SV FWD,"40,401 miles","$17,500",Atlanta Best Used Cars
https://www.truecar.com/used-cars-for-sale/listing/1FTEX1EP7MFB02413/2021-ford-f-150/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace,Used 2021 Ford F-150 XL SuperCab 6.5' Box 4WD,"144,748 miles","$15,999",1st Choice Autos
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EF0DKE01070/2013-ford-f-150/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace,Used 2013 Ford F-150 XLT SuperCrew 5.5' Box 4WD,"174,000 miles","$9,900",V-EIGHT AUTOMOTIVE
https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP9KL849278/2019-nissan-versa/?position=7&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace,Used 2019 Nissan Versa SV Sedan CVT,"99,349 miles","$6,489",Wiggles Auto Sales
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EG1JKE18836/2018-ford-f-150/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace,Used 2018 Ford F-150 XL SuperCrew 5.5' Box 4WD,"88,724 miles","$18,999",1st Choice Autos
https://www.truecar.com/used-cars-for-sale/listing/3N1CP5BV3RL492573/2024-nissan-kicks/?position=9&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-atlanta-ga%2F%3Fpage%3D1&sourceType=marketplace,Used 2024 Nissan Kicks S,"84,211 miles","$12,999",Amazing Luxury Cars Snellville
