url,title,mileage_listed,list_price_displayed,dealer_info
https://www.truecar.com/used-cars-for-sale/listing/1C6RREHT8MN753249/2021-ram-1500/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,"Used2021Ram1500 Limited Crew Cab 5'7"" Box 2WD","85,959miles","$32,650",Austin Texas Cars and Trucks
https://www.truecar.com/used-cars-for-sale/listing/1FTEW1C87PKD23603/2023-ford-f-150/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Used2023FordF-150 XLT SuperCrew 5.5' Box 2WD,"40,768miles","$28,213",Truck City Ford
https://www.truecar.com/used-cars-for-sale/listing/ZFBHRFAB1L6P25042/2020-ram-promaster-city-cargo-van/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Used2020RamProMaster City Cargo Van Tradesman,"54,865miles","$17,775",Austin Texas Cars and Trucks
https://www.truecar.com/used-cars-for-sale/listing/1FTFW1ET6DKF12146/2013-ford-f-150/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2013FordF-150 XL SuperCrew 6.5' Box 4WD,"82,837miles","$12,999",Capital City Trucks LLC
https://www.truecar.com/used-cars-for-sale/listing/1C6RREHT8MN753249/2021-ram-1500/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,"Used2021Ram1500 Limited Crew Cab 5'7"" Box 2WD","85,959miles","$32,650",Austin Texas Cars and Trucks
https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE1DH206979/2013-hyundai-elantra/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2013HyundaiElantra GLS Sedan Automatic,"74,831miles","$7,400",Awesome Cars LLC
https://www.truecar.com/used-cars-for-sale/listing/3FAHP0HA5BR144017/2011-ford-fusion/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2011FordFusion SE FWD,"161,000miles","$4,550",East West Autos
https://www.truecar.com/used-cars-for-sale/listing/1FTEW1C87PKD23603/2023-ford-f-150/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2023FordF-150 XLT SuperCrew 5.5' Box 2WD,"40,768miles","$28,213",Truck City Ford
https://www.truecar.com/used-cars-for-sale/listing/WBA3A9G58FNT09840/2015-bmw-3-series/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2015BMW335i Sedan RWD,"76,283miles","$15,998",AutoNation Toyota South Austin
https://www.truecar.com/used-cars-for-sale/listing/1FTEX1EBXNKE67956/2022-ford-f-150/?position=9&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2022FordF-150 XL SuperCab 6.5' Box 4WD,"95,052miles","$20,999",Daisy Motor Group
https://www.truecar.com/used-cars-for-sale/listing/1GAZGPFG6H1254889/2017-chevrolet-express-passenger/?position=10&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2017ChevroletExpress Passenger 3500 LT with 1LT LWB,"93,736miles","$14,999",Capital City Trucks LLC
https://www.truecar.com/used-cars-for-sale/listing/ZFBHRFAB1L6P25042/2020-ram-promaster-city-cargo-van/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2020RamProMaster City Cargo Van Tradesman,"54,865miles","$17,775",Austin Texas Cars and Trucks
https://www.truecar.com/used-cars-for-sale/listing/5NPD84LF7JH245710/2018-hyundai-elantra/?position=12&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2018HyundaiElantra SEL 2.0L Sedan Automatic,"105,658miles","$9,999",USA Auto Center (TX)
https://www.truecar.com/used-cars-for-sale/listing/WMEEJ3BA6FK800181/2015-smart-fortwo/?position=13&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2015smartfortwo Passion Coupe,"48,593miles","$5,995",Lone Oak Motors
https://www.truecar.com/used-cars-for-sale/listing/1FTFX1CF9DFA60096/2013-ford-f-150/?position=14&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2013FordF-150 XLT SuperCab 6.5' Box 2WD,"150,468miles","$11,475",Austin Texas Cars and Trucks
https://www.truecar.com/used-cars-for-sale/listing/1FBAX2YG8PKB08835/2023-ford-transit-passenger-wagon/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,"Used2023FordTransit Passenger Wagon T-350 148"" Low Roof XLT RWD","42,997miles","$38,900",Covert Buick GMC
https://www.truecar.com/used-cars-for-sale/listing/3GYFNAE36FS597574/2015-cadillac-srx/?position=16&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2015CadillacSRX FWD,"66,777miles","$10,999",Texas Central Motors
https://www.truecar.com/used-cars-for-sale/listing/1FM5K8AT8HGD93834/2017-ford-police-interceptor-utility/?position=17&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2017FordPolice Interceptor Utility AWD,"136,635miles","$6,999",Capital City Trucks LLC
https://www.truecar.com/used-cars-for-sale/listing/1FM5K7F89EGC37327/2014-ford-explorer/?position=18&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-austin-tx%2F%3Fpage%3D1&sourceType=marketplace,Used2014FordExplorer Limited FWD,"142,661miles","$8,888",Roger Beasley Mazda South
