url,title,mileage_listed,list_price_displayed,dealer_info
https://www.truecar.com/used-cars-for-sale/listing/1C4HJXDG4LW103150/2020-jeep-wrangler/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true,Used2020JeepWrangler Unlimited Sport S,"100,752miles","$18,500",Route 128 Honda
https://www.truecar.com/used-cars-for-sale/listing/YV4062RL4N1951937/2022-volvo-xc60/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true&zipcode=02062,Used2022VolvoXC60 B6 Inscription AWD,"41,577miles","$33,998",CarMax Westborough
https://www.truecar.com/used-cars-for-sale/listing/5UXCW2C00L9B52123/2020-bmw-x7/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace&sponsored=true&zipcode=01923,Used2020BMWX7 xDrive40i,"33,750miles","$42,998",CarMax Danvers
https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE7DH254907/2013-hyundai-elantra/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2013HyundaiElantra GLS Sedan Automatic,"43,420miles","$8,998",Prospect Auto Sales (MA)
https://www.truecar.com/used-cars-for-sale/listing/5N1AL0MM0DC348728/2013-infiniti-jx35/?position=4&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2013INFINITIJX35 AWD,"112,948miles","$8,995",John's Auto Sales Somerville
https://www.truecar.com/used-cars-for-sale/listing/KNDCE3LG1L5055363/2020-kia-niro-ev/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2020KiaNiro EV EX Premium,"35,267miles","$14,997",Nucar Chevrolet of Woburn EV EV
https://www.truecar.com/used-cars-for-sale/listing/2C4RDGBG8GR146919/2016-dodge-grand-caravan/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2016DodgeGrand Caravan SE,"116,058miles","$7,000",Beyond Motors
https://www.truecar.com/used-cars-for-sale/listing/1C4RJFJTXKC621246/2019-jeep-grand-cherokee/?position=7&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2019JeepGrand Cherokee Summit 4WD,"90,783miles","$19,998",Ira Toyota of Danvers
https://www.truecar.com/used-cars-for-sale/listing/1GNSKHKC7LR268530/2020-chevrolet-suburban/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2020ChevroletSuburban LT 4WD,"125,891miles","$22,995",John's Auto Sales Somerville
https://www.truecar.com/used-cars-for-sale/listing/1FTBR1Y80LKB60984/2020-ford-transit-cargo-van/?position=9&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,"Used2020FordTransit Cargo Van T-250 130"" Low Roof 9070 GVWR RWD","96,043miles","$20,687",Ira Toyota of Danvers
https://www.truecar.com/used-cars-for-sale/listing/KNDCC3LG1N5149557/2022-kia-niro-ev/?position=10&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2022KiaNiro EV EX,"46,668miles","$14,700",Nucar Hyundai Norwood EV EV
https://www.truecar.com/used-cars-for-sale/listing/1C4PJMAK0CW207427/2012-jeep-liberty/?position=11&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2012JeepLiberty Sport 4WD,"91,120miles","$7,450",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/1N6AA06B35N531548/2005-nissan-titan/?position=12&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2005NissanTitan SE King Cab 4WD,"103,830miles","$7,995",John's Auto Sales Somerville
https://www.truecar.com/used-cars-for-sale/listing/3FAHP0HG0CR119807/2012-ford-fusion/?position=13&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2012FordFusion SE FWD,"132,935miles","$5,350",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/KNDCC3LG9N5147572/2022-kia-niro-ev/?position=14&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2022KiaNiro EV EX,"39,972miles","$15,500",Nucar Volkswagen of Norwood EV EV
https://www.truecar.com/used-cars-for-sale/listing/1FTFX1EF3EKG28347/2014-ford-f-150/?position=15&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2014FordF-150 STX SuperCab 6.5' Box 4WD,"110,900miles","$13,750",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/WBA3G7C57FK296816/2015-bmw-3-series/?position=16&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2015BMW328i xDrive Sports Wagon,"145,545miles","$9,750",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/2C4RDGBG0JR304404/2018-dodge-grand-caravan/?position=17&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2018DodgeGrand Caravan SE,"65,808miles","$11,505",Beyond Motors
https://www.truecar.com/used-cars-for-sale/listing/1C4BJWDG7HL704626/2017-jeep-wrangler/?position=18&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2017JeepWrangler Unlimited Sport,"84,824miles","$17,662",Kelly Nissan of Lynnfield
