Mileage,Price,Stock type,Year,Make,Model
"58,269 ",14088 ,Used,2022,Dodge,Charger
"51,533 ",20294 ,Used,2023,Dodge,Charger
"90,521 ",13000 ,Used,2020,Dodge,Charger
"26,400 ",14995 ,Used,2016,Dodge,Charger
"55,230 ",16471 ,Used,2023,Dodge,Charger
137 ,26190 ,Used,2023,Dodge,Charger
"58,269 ",14088 ,Used,2022,Dodge,Charger
"56,630 ",16804 ,Used,2023,Dodge,Charger
"50,480 ",17741 ,Used,2023,Dodge,Charger
"48,223 ",17985 ,Used,2022,Dodge,Charger
"51,533 ",20294 ,Used,2023,Dodge,Charger
"59,297 ",16298 ,Used,2022,Dodge,Charger
"37,392 ",19495 ,Used,2023,Dodge,Charger
"61,065 ",17219 ,Used,2022,Dodge,Charger
"59,194 ",15227 ,Used,2022,Dodge,Charger
"55,328 ",16099 ,Used,2022,Dodge,Charger
"29,180 ",24900 ,Used,2021,Dodge,Charger
"30,035 ",38990 ,Used,2021,Dodge,Charger
"116,868 ",17088 ,Used,2021,Dodge,Charger
"58,924 ",16498 ,Used,2022,Dodge,Charger
"2,546 ",31125 ,Used,2023,Dodge,Charger
"10,821 ",29465 ,Used,2022,Dodge,Charger
"52,851 ",17990 ,Used,2022,Dodge,Charger
"90,521 ",13000 ,Used,2020,Dodge,Charger
"62,654 ",16595 ,Used,2021,Dodge,Charger
"50,776 ",18349 ,Used,2022,Dodge,Charger
"20,652 ",46977 ,Used,2023,Dodge,Charger
"30,350 ",59750 ,Used,2022,Dodge,Charger
"26,752 ",62850 ,Used,2023,Dodge,Charger
"30,799 ",25995 ,Used,2021,Dodge,Charger
"19,962 ",21700 ,Used,2023,Dodge,Charger
"51,945 ",20495 ,Used,2023,Dodge,Charger
"75,641 ",15789 ,Used,2021,Dodge,Charger
